id,href,name,detail,type1,type2
1,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),Bulbasaur,,Grass,Poison
2,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),Ivysaur,,Grass,Poison
3,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),Venusaur,,Grass,Poison
4,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),Charmander,,Fire,
5,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),Charmeleon,,Fire,
6,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),Charizard,,Fire,Flying
7,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),Squirtle,,Water,
8,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),Wartortle,,Water,
9,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),Blastoise,,Water,
10,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),Caterpie,,Bug,
11,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pok%C3%A9mon),Metapod,,Bug,
12,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pok%C3%A9mon),Butterfree,,Bug,Flying
13,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),Weedle,,Bug,Poison
14,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),Kakuna,,Bug,Poison
15,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),Beedrill,,Bug,Poison
16,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),Pidgey,,Normal,Flying
17,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),Pidgeotto,,Normal,Flying
18,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),Pidgeot,,Normal,Flying
19,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),Rattata,,Normal,
19,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),Rattata,Alolan Form,Dark,Normal
20,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),Raticate,,Normal,
20,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),Raticate,Alolan Form,Dark,Normal
21,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),Spearow,,Normal,Flying
22,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),Fearow,,Normal,Flying
23,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),Ekans,,Poison,
24,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),Arbok,,Poison,
25,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),Pikachu,,Electric,
26,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),Raichu,,Electric,
26,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),Raichu,Alolan Form,Electric,Psychic
27,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),Sandshrew,,Ground,
27,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),Sandshrew,Alolan Form,Ice,Steel
28,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),Sandslash,,Ground,
28,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),Sandslash,Alolan Form,Ice,Steel
29,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),Nidoran♀,,Poison,
30,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),Nidorina,,Poison,
31,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),Nidoqueen,,Poison,Ground
32,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),Nidoran♂,,Poison,
33,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),Nidorino,,Poison,
34,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),Nidoking,,Poison,Ground
35,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),Clefairy,,Fairy,
36,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),Clefable,,Fairy,
37,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),Vulpix,,Fire,
37,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),Vulpix,Alolan Form,Ice,
38,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),Ninetales,,Fire,
38,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),Ninetales,Alolan Form,Ice,Fairy
39,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),Jigglypuff,,Normal,Fairy
40,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),Wigglytuff,,Normal,Fairy
41,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),Zubat,,Poison,Flying
42,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),Golbat,,Poison,Flying
43,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),Oddish,,Grass,Poison
44,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),Gloom,,Grass,Poison
45,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),Vileplume,,Grass,Poison
46,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),Paras,,Bug,Grass
47,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),Parasect,,Bug,Grass
48,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),Venonat,,Bug,Poison
49,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),Venomoth,,Bug,Poison
50,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),Diglett,,Ground,
50,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),Diglett,Alolan Form,Ground,Steel
51,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),Dugtrio,,Ground,
51,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),Dugtrio,Alolan Form,Ground,Steel
52,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),Meowth,,Normal,
52,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),Meowth,Alolan Form,Dark,
52,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),Meowth,Galarian Form,Steel,
53,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),Persian,,Normal,
53,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),Persian,Alolan Form,Dark,
54,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),Psyduck,,Water,
55,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),Golduck,,Water,
56,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),Mankey,,Fighting,
57,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),Primeape,,Fighting,
58,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),Growlithe,,Fire,
58,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),Growlithe,Hisuian Form,Fire,Rock
59,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),Arcanine,,Fire,
59,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),Arcanine,Hisuian Form,Fire,Rock
60,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),Poliwag,,Water,
61,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),Poliwhirl,,Water,
62,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),Poliwrath,,Water,Fighting
63,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),Abra,,Psychic,
64,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),Kadabra,,Psychic,
65,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),Alakazam,,Psychic,
66,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),Machop,,Fighting,
67,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon),Machoke,,Fighting,
68,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon),Machamp,,Fighting,
69,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon),Bellsprout,,Grass,Poison
70,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon),Weepinbell,,Grass,Poison
71,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),Victreebel,,Grass,Poison
72,https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon),Tentacool,,Water,Poison
73,https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon),Tentacruel,,Water,Poison
74,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),Geodude,,Rock,Ground
74,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),Geodude,Alolan Form,Rock,Electric
75,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),Graveler,,Rock,Ground
75,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),Graveler,Alolan Form,Rock,Electric
76,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),Golem,,Rock,Ground
76,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),Golem,Alolan Form,Rock,Electric
77,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),Ponyta,,Fire,
77,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),Ponyta,Galarian Form,Psychic,
78,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),Rapidash,,Fire,
78,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),Rapidash,Galarian Form,Psychic,Fairy
79,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),Slowpoke,,Water,Psychic
79,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),Slowpoke,Galarian Form,Psychic,
80,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),Slowbro,,Water,Psychic
80,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),Slowbro,Galarian Form,Poison,Psychic
81,https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon),Magnemite,,Electric,Steel
82,https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon),Magneton,,Electric,Steel
83,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),Farfetch'd,,Normal,Flying
83,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),Farfetch'd,Galarian Form,Fighting,
