idx,name,type_cnt,label,img,type1,type2,species,height,weight,abilities,eggs,gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,total,Nor,Fir,Wat,Ele,Gra,Ice,Fig,Poi,Gro,Fly,Psy,Bug,Roc,Gho,Dra,Dar,Ste,Fai
1,Bulbasaur,1,Bulbasaur,https://img.pokemondb.net/artwork/large/bulbasaur.jpg,Grass,Poison,Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),Overgrow | Chlorophyll,"['Grass', 'Monster']","87.5% male, 12.5% female",45,49,49,65,65,45,318,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
2,Ivysaur,1,Ivysaur,https://img.pokemondb.net/artwork/large/ivysaur.jpg,Grass,Poison,Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),Overgrow | Chlorophyll,"['Grass', 'Monster']","87.5% male, 12.5% female",60,62,63,80,80,60,405,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
3,Venusaur,2,Venusaur,https://img.pokemondb.net/artwork/large/venusaur.jpg,Grass,Poison,Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),Overgrow | Chlorophyll,"['Grass', 'Monster']","87.5% male, 12.5% female",80,82,83,100,100,80,525,1,2,½,½,¼,2,½,1,1,2,2,1,1,1,1,1,1,½
3,Venusaur,2,Mega Venusaur,https://img.pokemondb.net/artwork/large/venusaur-mega.jpg,Grass,Poison,Seed Pokémon,2.4 m (7′10″),155.5 kg (342.8 lbs),Thick Fat,"['Grass', 'Monster']","87.5% male, 12.5% female",80,100,123,122,120,80,625,1,1,½,½,¼,1,½,1,1,2,2,1,1,1,1,1,1,½
4,Charmander,1,Charmander,https://img.pokemondb.net/artwork/large/charmander.jpg,Fire,,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),Blaze | Solar Power,"['Dragon', 'Monster']","87.5% male, 12.5% female",39,52,43,60,50,65,309,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
5,Charmeleon,1,Charmeleon,https://img.pokemondb.net/artwork/large/charmeleon.jpg,Fire,,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),Blaze | Solar Power,"['Dragon', 'Monster']","87.5% male, 12.5% female",58,64,58,80,65,80,405,1,½,2,1,½,½,1,1,2,1,1,½,2,1,1,1,½,½
6,Charizard,3,Charizard,https://img.pokemondb.net/artwork/large/charizard.jpg,Fire,Flying,Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),Blaze | Solar Power,"['Dragon', 'Monster']","87.5% male, 12.5% female",78,84,78,109,85,100,534,1,½,2,2,¼,1,½,1,0,1,1,¼,4,1,1,1,½,½
6,Charizard,3,Mega Charizard X,https://img.pokemondb.net/artwork/large/charizard-mega-x.jpg,Fire,Dragon,Flame Pokémon,1.7 m (5′07″),110.5 kg (243.6 lbs),Tough Claws,"['Dragon', 'Monster']","87.5% male, 12.5% female",78,130,111,130,85,100,634,1,¼,1,½,¼,1,1,1,2,1,1,½,2,1,2,1,½,1
6,Charizard,3,Mega Charizard Y,https://img.pokemondb.net/artwork/large/charizard-mega-y.jpg,Fire,Flying,Flame Pokémon,1.7 m (5′07″),100.5 kg (221.6 lbs),Drought,"['Dragon', 'Monster']","87.5% male, 12.5% female",78,104,78,159,115,100,634,1,½,2,2,¼,1,½,1,0,1,1,¼,4,1,1,1,½,½
7,Squirtle,1,Squirtle,https://img.pokemondb.net/artwork/large/squirtle.jpg,Water,,Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),Torrent | Rain Dish,"['Monster', 'Water 1']","87.5% male, 12.5% female",44,48,65,50,64,43,314,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
8,Wartortle,1,Wartortle,https://img.pokemondb.net/artwork/large/wartortle.jpg,Water,,Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),Torrent | Rain Dish,"['Monster', 'Water 1']","87.5% male, 12.5% female",59,63,80,65,80,58,405,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
9,Blastoise,2,Blastoise,https://img.pokemondb.net/artwork/large/blastoise.jpg,Water,,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),Torrent | Rain Dish,"['Monster', 'Water 1']","87.5% male, 12.5% female",79,83,100,85,105,78,530,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
9,Blastoise,2,Mega Blastoise,https://img.pokemondb.net/artwork/large/blastoise-mega.jpg,Water,,Shellfish Pokémon,1.6 m (5′03″),101.1 kg (222.9 lbs),Mega Launcher,"['Monster', 'Water 1']","87.5% male, 12.5% female",79,103,120,135,115,78,630,1,½,½,2,2,½,1,1,1,1,1,1,1,1,1,1,½,1
10,Caterpie,1,Caterpie,https://img.pokemondb.net/artwork/large/caterpie.jpg,Bug,,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),Shield Dust | Run Away,['Bug'],"50% male, 50% female",45,30,35,20,20,45,195,1,2,1,1,½,1,½,1,½,2,1,1,2,1,1,1,1,1
11,Metapod,1,Metapod,https://img.pokemondb.net/artwork/large/metapod.jpg,Bug,,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),Shed Skin,['Bug'],"50% male, 50% female",50,20,55,25,25,30,205,1,2,1,1,½,1,½,1,½,2,1,1,2,1,1,1,1,1
12,Butterfree,1,Butterfree,https://img.pokemondb.net/artwork/large/butterfree.jpg,Bug,Flying,Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),Compound Eyes | Tinted Lens,['Bug'],"50% male, 50% female",60,45,50,90,80,70,395,1,2,1,2,¼,2,¼,1,0,2,1,½,4,1,1,1,1,1
13,Weedle,1,Weedle,https://img.pokemondb.net/artwork/large/weedle.jpg,Bug,Poison,Hairy Bug Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),Shield Dust | Run Away,['Bug'],"50% male, 50% female",40,35,30,20,20,50,195,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
14,Kakuna,1,Kakuna,https://img.pokemondb.net/artwork/large/kakuna.jpg,Bug,Poison,Cocoon Pokémon,0.6 m (2′00″),10.0 kg (22.0 lbs),Shed Skin,['Bug'],"50% male, 50% female",45,25,50,25,25,35,205,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
15,Beedrill,2,Beedrill,https://img.pokemondb.net/artwork/large/beedrill.jpg,Bug,Poison,Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),Swarm | Sniper,['Bug'],"50% male, 50% female",65,90,40,45,80,75,395,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
15,Beedrill,2,Mega Beedrill,https://img.pokemondb.net/artwork/large/beedrill-mega.jpg,Bug,Poison,Poison Bee Pokémon,1.4 m (4′07″),40.5 kg (89.3 lbs),Adaptability,['Bug'],"50% male, 50% female",65,150,40,15,80,145,495,1,2,1,1,¼,1,¼,½,1,2,2,½,2,1,1,1,1,½
16,Pidgey,1,Pidgey,https://img.pokemondb.net/artwork/large/pidgey.jpg,Normal,Flying,Tiny Bird Pokémon,0.3 m (1′00″),1.8 kg (4.0 lbs),Keen Eye | Tangled Feet | Big Pecks,['Flying'],"50% male, 50% female",40,45,40,35,35,56,251,1,1,1,2,½,2,1,1,0,1,1,½,2,0,1,1,1,1
